The load Love numbers from the REAR package are attached. There are no 
more of these oscillations at high degree, and they go up to degree 32768.
November 20, 2015，Jean-Paul
CM: center of mass reference frame
    n     h' (vert)         l' (horiz)         k' (potent)
  385  -0.4337826438D+01  0.2637938230D-02  -0.4956325310D-02
  386  -0.4342162838D+01  0.2633713336D-02  -0.4949353116D-02
  387  -0.4346448036D+01  0.2629491037D-02  -0.4942315984D-02
  388  -0.4350700667D+01  0.2625285770D-02  -0.4935254685D-02
  389  -0.4354939132D+01  0.2621105626D-02  -0.4928210185D-02
  390  -0.4359250030D+01  0.2617005864D-02  -0.4921370755D-02
  391  -0.4363444952D+01  0.2612867381D-02  -0.4914325466D-02
  392  -0.4367692857D+01  0.2608796771D-02  -0.4907441888D-02
  393  -0.4371922919D+01  0.2604748397D-02  -0.4900565816D-02
  394  -0.4376149661D+01  0.2600731472D-02  -0.4893728375D-02
  395  -0.4380411077D+01  0.2596770659D-02  -0.4887010702D-02
  396  -0.4384616671D+01  0.2592806688D-02  -0.4880218244D-02
  397  -0.4388811819D+01  0.2588867993D-02  -0.4873448514D-02
  398  -0.4393037867D+01  0.2584982940D-02  -0.4866788950D-02
  399  -0.4397241871D+01  0.2581115297D-02  -0.4860126604D-02
  400  -0.4401432553D+01  0.2577270461D-02  -0.4853479923D-02
  401  -0.4405655961D+01  0.2573480190D-02  -0.4846945564D-02
  402  -0.4409891864D+01  0.2569730129D-02  -0.4840480196D-02
  403  -0.4414043196D+01  0.2565952966D-02  -0.4833880217D-02
  404  -0.4418197369D+01  0.2562208739D-02  -0.4827329028D-02
  405  -0.4422359278D+01  0.2558500540D-02  -0.4820836429D-02
  406  -0.4426553701D+01  0.2554845673D-02  -0.4814453282D-02
  407  -0.4430718671D+01  0.2551200678D-02  -0.4808050515D-02
  408  -0.4434869074D+01  0.2547575365D-02  -0.4801659027D-02
  409  -0.4439018331D+01  0.2543979081D-02  -0.4795306281D-02
  410  -0.4443205621D+01  0.2540439401D-02  -0.4789072241D-02
  411  -0.4447325442D+01  0.2536881287D-02  -0.4782740304D-02
  412  -0.4451447004D+01  0.2533353088D-02  -0.4776452392D-02
  413  -0.4455591041D+01  0.2529870351D-02  -0.4770250113D-02
  414  -0.4459714441D+01  0.2526401240D-02  -0.4764045574D-02
  415  -0.4463778214D+01  0.2522916369D-02  -0.4757760081D-02
  416  -0.4467963682D+01  0.2519550176D-02  -0.4751759025D-02
  417  -0.4472151555D+01  0.2516213083D-02  -0.4745801015D-02
  418  -0.4476191292D+01  0.2512795399D-02  -0.4739584010D-02
  419  -0.4480268772D+01  0.2509432697D-02  -0.4733481406D-02
  420  -0.4484350317D+01  0.2506100872D-02  -0.4727425047D-02
  421  -0.4488465650D+01  0.2502820861D-02  -0.4721473712D-02
  422  -0.4492549140D+01  0.2499544205D-02  -0.4715496558D-02
  423  -0.4496616608D+01  0.2496282029D-02  -0.4709525068D-02
  424  -0.4500684125D+01  0.2493046579D-02  -0.4703590766D-02
  425  -0.4504779270D+01  0.2489858636D-02  -0.4697747408D-02
  426  -0.4508832428D+01  0.2486668136D-02  -0.4691857731D-02
  427  -0.4512870776D+01  0.2483491438D-02  -0.4685975632D-02
  428  -0.4516932130D+01  0.2480356184D-02  -0.4680174703D-02
  429  -0.4520971954D+01  0.2477229934D-02  -0.4674367727D-02
  430  -0.4524951094D+01  0.2474081478D-02  -0.4668479049D-02
  431  -0.4529059116D+01  0.2471059572D-02  -0.4662874611D-02
  432  -0.4532741332D+01  0.2467712475D-02  -0.4656489348D-02
  433  -0.4537091833D+01  0.2464946509D-02  -0.4651417139D-02
  434  -0.4541111474D+01  0.2461930008D-02  -0.4645746777D-02
  435  -0.4545108433D+01  0.2458920174D-02  -0.4640067551D-02
  436  -0.4549144811D+01  0.2455965604D-02  -0.4634497633D-02
  437  -0.4553140539D+01  0.2453003221D-02  -0.4628884234D-02
  438  -0.4557122524D+01  0.2450053830D-02  -0.4623278660D-02
  439  -0.4561105266D+01  0.2447128839D-02  -0.4617708155D-02
  440  -0.4565081818D+01  0.2444222549D-02  -0.4612159385D-02
  441  -0.4569051578D+01  0.2441334058D-02  -0.4606631083D-02
  442  -0.4573037264D+01  0.2438481984D-02  -0.4601165478D-02
  443  -0.4577010311D+01  0.2435642934D-02  -0.4595708834D-02
  444  -0.4580963905D+01  0.2432811067D-02  -0.4590248451D-02
  445  -0.4584937055D+01  0.2430017959D-02  -0.4584856625D-02
  446  -0.4588874807D+01  0.2427218809D-02  -0.4579431209D-02
  447  -0.4592787078D+01  0.2424421342D-02  -0.4573990759D-02
  448  -0.4596727038D+01  0.2421668262D-02  -0.4568633339D-02
  449  -0.4600673915D+01  0.2418943802D-02  -0.4563319920D-02
  450  -0.4604585619D+01  0.2416212219D-02  -0.4557973302D-02
  451  -0.4608538930D+01  0.2413536697D-02  -0.4552733902D-02
  452  -0.4612442582D+01  0.2410842102D-02  -0.4547434653D-02
  453  -0.4616336941D+01  0.2408161326D-02  -0.4542149342D-02
  454  -0.4620232627D+01  0.2405503062D-02  -0.4536897088D-02
  455  -0.4624121764D+01  0.2402860628D-02  -0.4531663424D-02
  456  -0.4628011740D+01  0.2400239857D-02  -0.4526461531D-02
  457  -0.4631903833D+01  0.2397641990D-02  -0.4521293395D-02
  458  -0.4635787396D+01  0.2395057909D-02  -0.4516139695D-02
  459  -0.4639651974D+01  0.2392478565D-02  -0.4510981682D-02
  460  -0.4643544472D+01  0.2389943327D-02  -0.4505902895D-02
  461  -0.4647384639D+01  0.2387384498D-02  -0.4500760120D-02
  462  -0.4651286473D+01  0.2384898017D-02  -0.4495755988D-02
  463  -0.4655056530D+01  0.2382319759D-02  -0.4490547374D-02
  464  -0.4658918680D+01  0.2379840379D-02  -0.4485530533D-02
  465  -0.4662744110D+01  0.2377349202D-02  -0.4480477576D-02
  466  -0.4666549443D+01  0.2374860344D-02  -0.4475417943D-02
  467  -0.4670393229D+01  0.2372424133D-02  -0.4470454037D-02
  468  -0.4674226052D+01  0.2369998256D-02  -0.4465498895D-02
  469  -0.4678032805D+01  0.2367569298D-02  -0.4460526179D-02
  470  -0.4681832940D+01  0.2365153885D-02  -0.4455569795D-02
  471  -0.4685639739D+01  0.2362762985D-02  -0.4450652693D-02
  472  -0.4689438719D+01  0.2360384859D-02  -0.4445749373D-02
  473  -0.4693208181D+01  0.2357999809D-02  -0.4440822491D-02
  474  -0.4697005076D+01  0.2355657451D-02  -0.4435970052D-02
  475  -0.4700714473D+01  0.2353257456D-02  -0.4430994454D-02
  476  -0.4704558384D+01  0.2350993131D-02  -0.4426276307D-02
  477  -0.4708287162D+01  0.2348647140D-02  -0.4421387758D-02
  478  -0.4712050120D+01  0.2346348543D-02  -0.4416584330D-02
  479  -0.4715816078D+01  0.2344071302D-02  -0.4411812225D-02
  480  -0.4719548840D+01  0.2341782988D-02  -0.4407010040D-02
  481  -0.4723262877D+01  0.2339495874D-02  -0.4402202486D-02
  482  -0.4727016531D+01  0.2337261431D-02  -0.4397487813D-02
  483  -0.4730759714D+01  0.2335035687D-02  -0.4392781147D-02
  484  -0.4734473108D+01  0.2332801230D-02  -0.4388050073D-02
  485  -0.4738181734D+01  0.2330580043D-02  -0.4383336601D-02
  486  -0.4741898707D+01  0.2328383438D-02  -0.4378662528D-02
  487  -0.4745601618D+01  0.2326191732D-02  -0.4373990206D-02
  488  -0.4749301721D+01  0.2324014725D-02  -0.4369338316D-02
  489  -0.4752952669D+01  0.2321812975D-02  -0.4364629735D-02
  490  -0.4756671317D+01  0.2319689522D-02  -0.4360057949D-02
  491  -0.4760348030D+01  0.2317543027D-02  -0.4355441819D-02
  492  -0.4764019248D+01  0.2315408070D-02  -0.4350841284D-02
  493  -0.4767697863D+01  0.2313296453D-02  -0.4346277302D-02
  494  -0.4771337825D+01  0.2311167005D-02  -0.4341674239D-02
  495  -0.4774984025D+01  0.2309059388D-02  -0.4337105712D-02
  496  -0.4778646366D+01  0.2306982485D-02  -0.4332587580D-02
  497  -0.4782286939D+01  0.2304902487D-02  -0.4328057842D-02
  498  -0.4785912259D+01  0.2302825393D-02  -0.4323527117D-02
  499  -0.4789535787D+01  0.2300762257D-02  -0.4319017291D-02
  500  -0.4793151689D+01  0.2298708222D-02  -0.4314518738D-02
  501  -0.4796758489D+01  0.2296661706D-02  -0.4310029027D-02
  502  -0.4800383318D+01  0.2294647177D-02  -0.4305591607D-02
  503  -0.4803993526D+01  0.2292635207D-02  -0.4301153827D-02
  504  -0.4807054089D+01  0.2290138089D-02  -0.4295862016D-02
  505  -0.4811195615D+01  0.2288641317D-02  -0.4292317886D-02
  506  -0.4814746195D+01  0.2286622162D-02  -0.4287853803D-02
  507  -0.4818352528D+01  0.2284668020D-02  -0.4283501235D-02
  508  -0.4821914495D+01  0.2282689445D-02  -0.4279100737D-02
  509  -0.4825463237D+01  0.2280713958D-02  -0.4274701889D-02
  510  -0.4829029244D+01  0.2278768612D-02  -0.4270352825D-02
  511  -0.4832578566D+01  0.2276823754D-02  -0.4265999567D-02
  512  -0.4836134293D+01  0.2274899310D-02  -0.4261678560D-02
  513  -0.4839665716D+01  0.2272967554D-02  -0.4257341475D-02
  514  -0.4843194453D+01  0.2271048014D-02  -0.4253022170D-02
  515  -0.4846757082D+01  0.2269173487D-02  -0.4248777558D-02
  516  -0.4850259042D+01  0.2267258839D-02  -0.4244459948D-02
  517  -0.4853756894D+01  0.2265354639D-02  -0.4240157758D-02
  518  -0.4857243610D+01  0.2263454628D-02  -0.4235859947D-02
  519  -0.4860786855D+01  0.2261620236D-02  -0.4231670886D-02
  520  -0.4864276066D+01  0.2259750955D-02  -0.4227419567D-02
  521  -0.4867813095D+01  0.2257939086D-02  -0.4223262992D-02
  522  -0.4871220483D+01  0.2256023121D-02  -0.4218928343D-02
  523  -0.4874718670D+01  0.2254204023D-02  -0.4214754029D-02
  524  -0.4878178650D+01  0.2252363792D-02  -0.4210542113D-02
  525  -0.4881674215D+01  0.2250569602D-02  -0.4206405249D-02
  526  -0.4885107267D+01  0.2248732143D-02  -0.4202193801D-02
  527  -0.4888566043D+01  0.2246931874D-02  -0.4198042048D-02
  528  -0.4892004909D+01  0.2245126831D-02  -0.4193880581D-02
  529  -0.4895439323D+01  0.2243331161D-02  -0.4189732775D-02
  530  -0.4898877774D+01  0.2241552470D-02  -0.4185611346D-02
  531  -0.4902308251D+01  0.2239779834D-02  -0.4181498039D-02
  532  -0.4905732671D+01  0.2238014908D-02  -0.4177395668D-02
  533  -0.4909150358D+01  0.2236256948D-02  -0.4173303140D-02
  534  -0.4912567464D+01  0.2234511529D-02  -0.4169229602D-02
  535  -0.4915940921D+01  0.2232739193D-02  -0.4165110707D-02
  536  -0.4919375083D+01  0.2231035201D-02  -0.4161101974D-02
  537  -0.4922742750D+01  0.2229283252D-02  -0.4157013879D-02
  538  -0.4926107609D+01  0.2227541491D-02  -0.4152941268D-02
  539  -0.4929539335D+01  0.2225873789D-02  -0.4148986922D-02
  540  -0.4932863033D+01  0.2224119484D-02  -0.4144892349D-02
  541  -0.4936228021D+01  0.2222415770D-02  -0.4140877974D-02
  542  -0.4939575156D+01  0.2220708143D-02  -0.4136856524D-02
  543  -0.4942921103D+01  0.2219011868D-02  -0.4132852437D-02
  544  -0.4946260955D+01  0.2217322364D-02  -0.4128858424D-02
  545  -0.4949589007D+01  0.2215634181D-02  -0.4124866121D-02
  546  -0.4952935756D+01  0.2213975571D-02  -0.4120919833D-02
  547  -0.4956277935D+01  0.2212325038D-02  -0.4116985491D-02
  548  -0.4959590944D+01  0.2210659550D-02  -0.4113027421D-02
  549  -0.4962899063D+01  0.2209001789D-02  -0.4109080809D-02
  550  -0.4966180541D+01  0.2207331507D-02  -0.4105114233D-02
  551  -0.4969489157D+01  0.2205697786D-02  -0.4101205281D-02
  552  -0.4972792032D+01  0.2204070997D-02  -0.4097306231D-02
  553  -0.4976068422D+01  0.2202431506D-02  -0.4093387375D-02
  554  -0.4979350653D+01  0.2200812618D-02  -0.4089494579D-02
  555  -0.4982628322D+01  0.2199198256D-02  -0.4085613669D-02
  556  -0.4985907698D+01  0.2197596862D-02  -0.4081753139D-02
  557  -0.4989161429D+01  0.2195983316D-02  -0.4077873967D-02
  558  -0.4992412100D+01  0.2194378456D-02  -0.4074008278D-02
  559  -0.4995692837D+01  0.2192812614D-02  -0.4070202916D-02
  560  -0.4998918987D+01  0.2191208072D-02  -0.4066337820D-02
  561  -0.5002138905D+01  0.2189608955D-02  -0.4062481623D-02
  562  -0.5005379459D+01  0.2188034748D-02  -0.4058673282D-02
  563  -0.5008617104D+01  0.2186480045D-02  -0.4054875615D-02
  564  -0.5011810678D+01  0.2184890367D-02  -0.4051034730D-02
  565  -0.5014992404D+01  0.2183300611D-02  -0.4047194701D-02
  566  -0.5018242028D+01  0.2181784885D-02  -0.4043466671D-02
  567  -0.5021424641D+01  0.2180218166D-02  -0.4039662193D-02
  568  -0.5024607607D+01  0.2178662727D-02  -0.4035875312D-02
  569  -0.5027818015D+01  0.2177143447D-02  -0.4032143489D-02
  570  -0.5030986203D+01  0.2175596031D-02  -0.4028369964D-02
  571  -0.5034157053D+01  0.2174061926D-02  -0.4024616963D-02
  572  -0.5037317413D+01  0.2172528796D-02  -0.4020866242D-02
  573  -0.5040473105D+01  0.2171002051D-02  -0.4017125790D-02
  574  -0.5043637707D+01  0.2169494117D-02  -0.4013414179D-02
  575  -0.5046785088D+01  0.2167980848D-02  -0.4009695423D-02
  576  -0.5049923915D+01  0.2166470259D-02  -0.4005981413D-02
  577  -0.5053073602D+01  0.2164980086D-02  -0.4002298592D-02
  578  -0.5056194453D+01  0.2163474074D-02  -0.3998592680D-02
  579  -0.5059293416D+01  0.2161957897D-02  -0.3994873338D-02
  580  -0.5062425630D+01  0.2160482621D-02  -0.3991215424D-02
  581  -0.5065536702D+01  0.2158998250D-02  -0.3987544857D-02
  582  -0.5068627699D+01  0.2157505469D-02  -0.3983863205D-02
  583  -0.5071743044D+01  0.2156045171D-02  -0.3980230443D-02
  584  -0.5074821826D+01  0.2154561540D-02  -0.3976564195D-02
  585  -0.5077911575D+01  0.2153098026D-02  -0.3972928613D-02
  586  -0.5080980309D+01  0.2151625063D-02  -0.3969280604D-02
  587  -0.5084047837D+01  0.2150160980D-02  -0.3965646727D-02
  588  -0.5087109340D+01  0.2148701260D-02  -0.3962020457D-02
  589  -0.5090158134D+01  0.2147239592D-02  -0.3958392875D-02
  590  -0.5093227160D+01  0.2145806578D-02  -0.3954807720D-02
  591  -0.5097028893D+01  0.2145067047D-02  -0.3952208567D-02
  592  -0.5099295571D+01  0.2142905474D-02  -0.3947591151D-02
  593  -0.5102345804D+01  0.2141484452D-02  -0.3944027089D-02
  594  -0.5105383425D+01  0.2140061179D-02  -0.3940461607D-02
  595  -0.5108410614D+01  0.2138637994D-02  -0.3936897517D-02
  596  -0.5111408047D+01  0.2137196899D-02  -0.3933309418D-02
  597  -0.5114409256D+01  0.2135768830D-02  -0.3929741428D-02
  598  -0.5117394836D+01  0.2134335688D-02  -0.3926168050D-02
  599  -0.5120407165D+01  0.2132936818D-02  -0.3922644621D-02
  600  -0.5123407573D+01  0.2131536371D-02  -0.3919120441D-02
  601  -0.5126384963D+01  0.2130123981D-02  -0.3915581097D-02
  602  -0.5129358125D+01  0.2128716993D-02  -0.3912051055D-02
  603  -0.5132359586D+01  0.2127345289D-02  -0.3908572462D-02
  604  -0.5135308214D+01  0.2125934236D-02  -0.3905039952D-02
  605  -0.5138247976D+01  0.2124524110D-02  -0.3901510700D-02
  606  -0.5141228246D+01  0.2123160522D-02  -0.3898048267D-02
  607  -0.5144164508D+01  0.2121765462D-02  -0.3894543568D-02
  608  -0.5147083620D+01  0.2120363641D-02  -0.3891031299D-02
  609  -0.5150042456D+01  0.2119007395D-02  -0.3887584443D-02
  610  -0.5152961703D+01  0.2117623699D-02  -0.3884101095D-02
  611  -0.5155869043D+01  0.2116237961D-02  -0.3880616844D-02
  612  -0.5158751724D+01  0.2114838322D-02  -0.3877115451D-02
  613  -0.5161703782D+01  0.2113511628D-02  -0.3873716575D-02
  614  -0.5164604542D+01  0.2112146436D-02  -0.3870266451D-02
  615  -0.5167493298D+01  0.2110778988D-02  -0.3866815156D-02
  616  -0.5170377711D+01  0.2109416270D-02  -0.3863372380D-02
  617  -0.5173257149D+01  0.2108057696D-02  -0.3859937268D-02
  618  -0.5176144149D+01  0.2106714749D-02  -0.3856525590D-02
  619  -0.5179015099D+01  0.2105365654D-02  -0.3853107483D-02
  620  -0.5181738317D+01  0.2103891113D-02  -0.3849517497D-02
  621  -0.5184727651D+01  0.2102669529D-02  -0.3846275268D-02
  622  -0.5187591406D+01  0.2101339848D-02  -0.3842889234D-02
  623  -0.5190146421D+01  0.2099736104D-02  -0.3839130879D-02
  624  -0.5193265915D+01  0.2098656882D-02  -0.3836091757D-02
  625  -0.5196111985D+01  0.2097336316D-02  -0.3832724269D-02
  626  -0.5198930737D+01  0.2095998942D-02  -0.3829336277D-02
  627  -0.5201760003D+01  0.2094679546D-02  -0.3825974763D-02
  628  -0.5204571752D+01  0.2093352408D-02  -0.3822604900D-02
  629  -0.5207388100D+01  0.2092037832D-02  -0.3819254015D-02
  630  -0.5210184633D+01  0.2090713305D-02  -0.3815891935D-02
  631  -0.5212977675D+01  0.2089393763D-02  -0.3812538785D-02
  632  -0.5215759412D+01  0.2088072016D-02  -0.3809184934D-02
  633  -0.5218541762D+01  0.2086759006D-02  -0.3805844969D-02
  634  -0.5221314419D+01  0.2085445269D-02  -0.3802506216D-02
  635  -0.5224126432D+01  0.2084175730D-02  -0.3799228554D-02
  636  -0.5226884125D+01  0.2082864402D-02  -0.3795897440D-02
  637  -0.5229626553D+01  0.2081547138D-02  -0.3792560696D-02
  638  -0.5232412526D+01  0.2080277678D-02  -0.3789289820D-02
  639  -0.5235145487D+01  0.2078967677D-02  -0.3785967318D-02
  640  -0.5237873478D+01  0.2077661044D-02  -0.3782651628D-02
  641  -0.5240602115D+01  0.2076362910D-02  -0.3779349499D-02
  642  -0.5243355442D+01  0.2075095176D-02  -0.3776089869D-02
  643  -0.5246053848D+01  0.2073785019D-02  -0.3772776640D-02
  644  -0.5248783931D+01  0.2072511748D-02  -0.3769514157D-02
  645  -0.5251489490D+01  0.2071223753D-02  -0.3766234742D-02
  646  -0.5254191442D+01  0.2069940209D-02  -0.3762963524D-02
  647  -0.5256912667D+01  0.2068681910D-02  -0.3759727843D-02
  648  -0.5259595478D+01  0.2067396322D-02  -0.3756458577D-02
  649  -0.5262177254D+01  0.2066025423D-02  -0.3753081501D-02
  650  -0.5264949784D+01  0.2064837571D-02  -0.3749943761D-02
  651  -0.5267633878D+01  0.2063576018D-02  -0.3746713038D-02
  652  -0.5270287179D+01  0.2062293895D-02  -0.3743457990D-02
  653  -0.5272960745D+01  0.2061037649D-02  -0.3740239219D-02
  654  -0.5275623462D+01  0.2059779150D-02  -0.3737019700D-02
  655  -0.5278264366D+01  0.2058508182D-02  -0.3733786540D-02
  656  -0.5280935759D+01  0.2057272328D-02  -0.3730601400D-02
  657  -0.5283555842D+01  0.2055997335D-02  -0.3727367818D-02
  658  -0.5286191067D+01  0.2054743452D-02  -0.3724164060D-02
  659  -0.5288811996D+01  0.2053483903D-02  -0.3720955478D-02
  660  -0.5291428456D+01  0.2052227794D-02  -0.3717753557D-02
  661  -0.5294040074D+01  0.2050974402D-02  -0.3714557869D-02
  662  -0.5296655040D+01  0.2049731321D-02  -0.3711377911D-02
  663  -0.5299228008D+01  0.2048457300D-02  -0.3708160847D-02
  664  -0.5301872450D+01  0.2047255495D-02  -0.3705038581D-02
  665  -0.5304454514D+01  0.2046004173D-02  -0.3701855512D-02
  666  -0.5307024878D+01  0.2044749433D-02  -0.3698670586D-02
  667  -0.5309581966D+01  0.2043489668D-02  -0.3695482000D-02
  668  -0.5312192501D+01  0.2042285638D-02  -0.3692366661D-02
  669  -0.5314747139D+01  0.2041037948D-02  -0.3689198352D-02
  670  -0.5317301695D+01  0.2039797230D-02  -0.3686041486D-02
  671  -0.5319850351D+01  0.2038558151D-02  -0.3682889325D-02
  672  -0.5322408505D+01  0.2037334720D-02  -0.3679759454D-02
  673  -0.5324959493D+01  0.2036111792D-02  -0.3676632709D-02
  674  -0.5327491615D+01  0.2034878737D-02  -0.3673495734D-02
  675  -0.5330019722D+01  0.2033648950D-02  -0.3670365484D-02
  676  -0.5332537705D+01  0.2032416882D-02  -0.3667234980D-02
  677  -0.5335055135D+01  0.2031191231D-02  -0.3664115091D-02
  678  -0.5337574940D+01  0.2029974259D-02  -0.3661009147D-02
  679  -0.5340087423D+01  0.2028758095D-02  -0.3657905853D-02
  680  -0.5342596036D+01  0.2027544992D-02  -0.3654809342D-02
  681  -0.5345077813D+01  0.2026314421D-02  -0.3651693594D-02
  682  -0.5347583404D+01  0.2025111993D-02  -0.3648615762D-02
  683  -0.5350068154D+01  0.2023897569D-02  -0.3645525396D-02
  684  -0.5352536929D+01  0.2022675436D-02  -0.3642428051D-02
  685  -0.5354988249D+01  0.2021444212D-02  -0.3639322097D-02
  686  -0.5357488281D+01  0.2020263561D-02  -0.3636281585D-02
  687  -0.5359932989D+01  0.2019041587D-02  -0.3633189742D-02
  688  -0.5362402138D+01  0.2017846988D-02  -0.3630136171D-02
  689  -0.5364847123D+01  0.2016636732D-02  -0.3627066482D-02
  690  -0.5367288326D+01  0.2015429668D-02  -0.3624003345D-02
  691  -0.5369742618D+01  0.2014240819D-02  -0.3620965447D-02
  692  -0.5372179615D+01  0.2013043074D-02  -0.3617918954D-02
  693  -0.5374608300D+01  0.2011844281D-02  -0.3614873882D-02
  694  -0.5377020997D+01  0.2010637634D-02  -0.3611821735D-02
  695  -0.5379423101D+01  0.2009427963D-02  -0.3608768490D-02
  696  -0.5381840196D+01  0.2008238114D-02  -0.3605742320D-02
  697  -0.5384225925D+01  0.2007026548D-02  -0.3602692143D-02
  698  -0.5386636945D+01  0.2005844105D-02  -0.3599680189D-02
  699  -0.5389022449D+01  0.2004645134D-02  -0.3596650678D-02
  700  -0.5391417794D+01  0.2003461285D-02  -0.3593642334D-02
  701  -0.5393794473D+01  0.2002267045D-02  -0.3590623919D-02
  702  -0.5396173994D+01  0.2001081679D-02  -0.3587618927D-02
  703  -0.5398538549D+01  0.1999889205D-02  -0.3584607911D-02
  704  -0.5400898469D+01  0.1998698845D-02  -0.3581602127D-02
  705  -0.5403253821D+01  0.1997510627D-02  -0.3578601605D-02
  706  -0.5405611229D+01  0.1996330434D-02  -0.3575613506D-02
  707  -0.5407945254D+01  0.1995135330D-02  -0.3572610326D-02
  708  -0.5410298365D+01  0.1993963936D-02  -0.3569637763D-02
  709  -0.5412638507D+01  0.1992786881D-02  -0.3566661314D-02
  710  -0.5414955769D+01  0.1991595581D-02  -0.3563670286D-02
  711  -0.5417299397D+01  0.1990433790D-02  -0.3560717665D-02
  712  -0.5419612754D+01  0.1989251190D-02  -0.3557742472D-02
  713  -0.5421915275D+01  0.1988065023D-02  -0.3554765645D-02
  714  -0.5424217457D+01  0.1986884589D-02  -0.3551798404D-02
  715  -0.5426500586D+01  0.1985693215D-02  -0.3548820755D-02
  716  -0.5428815669D+01  0.1984536274D-02  -0.3545887066D-02
  717  -0.5431114673D+01  0.1983371033D-02  -0.3542946021D-02
  718  -0.5433394912D+01  0.1982195114D-02  -0.3539994817D-02
  719  -0.5435671023D+01  0.1981021454D-02  -0.3537049008D-02
  720  -0.5437935762D+01  0.1979843645D-02  -0.3534100908D-02
  721  -0.5440211225D+01  0.1978681231D-02  -0.3531173846D-02
  722  -0.5442452342D+01  0.1977494300D-02  -0.3528220191D-02
  723  -0.5444737698D+01  0.1976352418D-02  -0.3525322889D-02
  724  -0.5446985512D+01  0.1975183155D-02  -0.3522395587D-02
